ID,Part Number,x,y,rotation,sector
1,C1,1.6579958961674002,-2.162562047269872,322.5232921501135,A0
2,C2,5.131226148058152,-1.873915559482743,290.06211240030274,A1
3,C3,6.413997855435059,-5.405724182888925,490.1242248006055,A2
4,C4,9.130180900629712,-10.064691868538041,317.7872698514001,A3
5,C5,10.48681400887061,-5.511575538062783,297.7251574510971,A4
6,C6,9.754971771386847,-1.3125176548571973,277.66304505079455,A5
7,C7,12.915869552269529,1.0700533910884582,625.263977701287,A6
8,C8,16.896471442610846,-0.8639279442142287,452.92702275208194,A7
9,C9,14.064067126849698,-3.8543777213078574,465.3260901015891,A8
10,C10,13.090208833186683,-9.29867119377975,485.3882025018921,A9
11,C11,14.205967670373584,-13.271054623972981,313.0512475526863,A10
12,C12,16.772616590276733,-7.115800032138673,292.9891351523841,A11
13,C13,19.825160486470615,-3.706621007906342,280.5900678028761,A12
14,C14,21.94608436836269,0.6931340166481221,808.1910004533681,A13
15,C15,24.460941602549873,-2.507965466646784,455.8540455041639,A14
16,C16,21.836032264159407,-7.201758949127106,468.25311285367025,A15
17,C17,18.311663096716906,-10.852008954201443,480.65218020317826,A16
18,C18,18.82051496728461,-14.871669279812446,488.31522525397406,A17
19,C19,14.152232378555656,-17.29945189482902,500.714292603482,A18
20,C20,16.999639179329534,-23.092593894420006,323.64131535556237,A19
21,C21,18.366476360464052,-19.004613777568597,315.9782703047682,A20
22,C22,23.19384006742757,-15.397818311301661,303.57920295526185,A21
23,C23,22.95788411214151,-11.155751509196532,295.9161579044644,A22
24,C24,26.23259068753261,-6.3061642450066575,283.51709055495803,A23
25,C25,28.359079049955717,-0.5534462316698415,271.1180232054484,A24
26,C26,31.651458897504554,2.0013236577520925,806.3820009067363,A25
27,C27,30.117856556380122,-4.652300977785836,458.7810682562458,A26
28,C28,31.12755133213698,-9.18738423539876,466.44411330703997,A27
29,C29,27.214064312347364,-10.544786781375866,471.1801356057522,A28
30,C30,27.36747702365479,-15.072267906347088,478.84318065654634,A29
31,C31,22.54684258096612,-19.76765422816221,491.242248006056,A30
32,C32,21.02999153708443,-24.11162807289791,498.90529305685016,A31
33,C33,25.114847492799925,-24.396927911073423,314.16927075813794,A32
34,C34,26.66961815306903,-19.738964297414704,306.50622570734055,A33
